gtin,title_kk,brand,ingredients,company_id,certificate_status,notes,off_query
4607025392918,Сыр плавленый ломтики 140 г,FoodMaster,"сүт, тұз",,reference,,
4607025392927,Йогурт греческий 150 г,FoodMaster,"сүт, ашытқы",,reference,,
4607025392945,Молоко безлактозное 1 л,FoodMaster,сүт,,reference,,
4607025392954,Протеиновый батончик 60 г,Спорт,"сүт протеині, қант",,reference,,
4607025392963,Витаминный комплекс 30 таб,Қосымша,витаминдер,,reference,тағамдық қоспа емес,
5449000000286,колла оригинал,Coca-Cola,"water, fructose-glucose syrup, carbon dioxide, colour: e 150d, acid: phosphoric acid, natural flavourings, flavouring caffeine, best before date: see bottle neck, keep cool and dry, do not expose to sunlight,",,reference,open_food_facts,
5449000006271,Fanta orange,Fanta,"Eau pétillante , sucre , jus d'orange à base de concentré (6%) , acidifiants , acide citrique, citrate de sodium , conservateur : sorbate de potassium , arômes naturels d'orange avec autres arômes naturels , antioxydant : acide ascorbique ,",,reference,open_food_facts,
3560070739042,Filets de MAQUEREAUX BLANCS À LA MOUTARDE DE DIJON,Carrefour,"Filets de maquereaux blancs 56,2% (_Poisson_ - Scomber colias ou Scomber japonicus), eau, _moutarde_ de Dijon 8% (eau, graines de _moutarde_, vinaigre d'alcool, sel), vinaigre d'alcool, huile de tournesol, sel, amidon modifié de maïs, arôme",,reference,open_food_facts,
4600680010632,Nescafé® Classic. Натуральный растворимый порошкообразный кофе с добавлением натурального жареного молотого кофе.,Nestlé,"100% натуральный кофе. 

кофе натуральный растворимый порошкообразный, кофе натуральный жареный молотый.",,reference,open_food_facts,
4680021880490,Яшкино Американское печенье,KDV,"Мука пшеничная, сахар, масло пальмовое, масло пальмоядровое, масло подсолнечное, масло соевое, вода питьевая, хлопья овсяные, какао-порошок, сыворотка сухая молочная, глюкозно-фруктозный сироп, гидрокарбонат натрия, гидрокарбонат аммония, E",,reference,open_food_facts,
7622210750495,MMMAX Oreo,Milka,"Сахар, масло пальмовое, масло пальмоядровое, мука пшеничная, молоко сухое обезжиренное, масло какао, какао тёртое, сывортка сухая молочная, жир молочный, какао-порошок, крахмал пшеничный, сироп глюкозный, лецитин соевый, паста ореховая, фун",,reference,open_food_facts,
4690388110277,Чипсы (Сметана и зелень),Lay's,,,reference,open_food_facts,
3245413856968,Saucisson sec aux noisettes,Carrefour,"Viande de porc, _noisettes_ 6,6%, sel, _lactose_, poivre, sucre, dextrose, ail, muscade, conservateur : nitrate de potassium, ferments, boyau naturel de porc.
145g de viande mise en œuvre pour 100g de produit fini.
Viande de porc origine Un",,reference,open_food_facts,
4870202521254,Unknown,Unknown,Махи Чаи,,reference,open_food_facts,
4870112002973,Albeni,,,,reference,open_food_facts,
4680009030756,Скумбрия дальневосточная натуральная с добавлением масла,Доброфлот,"Скумбрия японская (scomber japonicus), масло соевое рафинированное дезодорированное, соль пищевая, перец черный.",,reference,open_food_facts,
4605082002117,Рулет,Оч,,24225,active,open_food_facts,
4600300086863,Конфеты Мишка косолапый,Красный Октябрь,"Шоколадная глазурь (сахар, какао тёртое, эквивалент масла какао (растительные масла), какао-порошок, эмульгаторы: лецитин соевый, е476, ароматизатор &quot;ваниль&quot;), сахар, ядро ореха миндаля тёртое, масло какао, вафли (вода питьевая, м",,reference,open_food_facts,
4607041137977,Лапша Том Ям со вкусом креветки,GauDo,"мука пшеничная, растительное масло, соль, сахар, регулятор кислотности: Е451 (i); стабилизатор: Е452 (i); разрыхлитель: E500 (i). Суповая основа: растительное масло, сахар, соль, чеснок, корень галангала, лемонграсс, сушёные овощи, натураль",,reference,open_food_facts,
4626018133057,4626018133057,,,,reference,open_food_facts,
8600038002445,Мексиканская Смесь,Flora,,,reference,open_food_facts,
4870003751751,"Готовый Завтрак С Овсянкой, Яблоком И Корицей",Natige,,15398,active,open_food_facts,
4650064890688,demarco,demarco,"e339,e474,e524,e322,e162,e412,e551,e952,e954",,reference,open_food_facts,
5449000325884,Tonic Water,Schweppes,,,reference,open_food_facts,
5449000054223,Coca-Cola Original Taste,Coca Cola Life,"Water, fructose - glucose syrup, carbon dioxide, colorant: e150d, acid: phosphoric acid, natural flavorings (including caffeine).",,reference,open_food_facts,
5449000000435,Coca Cola Original taste,Coca-Cola,"Eau gazéifiée, sucre, colorant (caramel (E150d)), acidifiant(acide phosphorique), arômes, caféine",,reference,open_food_facts,
4870202521218,Макси чай,,,,reference,open_food_facts,
4870035007457,провансаль 3 желания,,,,reference,open_food_facts,
4640001890039,Сода пищевая,Башкирская содовая компания,Гидрокарбонат натрия E500 (ii),,reference,open_food_facts,
4870035006704,майонез классический 3 желания,Unknown,"Масло подсолнечное, вода, сахар, молоко, яичный желток, соль, уксусная кислота, сода пищевая, молочная кислота, масло горчичное, провитамин А.",,reference,open_food_facts,
4870036001201,ĶAZAKHSTAN,Kazakhstan,"sugar,cocoa mass, cocoa oil, whey solids,whole milk dried, emulsifier: soy lecithin, intensifier of taste and smell - extract of natural vanilla.",15156,active,open_food_facts,
5449000189352,Fuse Tea Mango - Ananas,fuse tea,,,reference,open_food_facts,
4870001570073,«Pepsi-Cola» қатты газдалған алкогольсіз сусыны,Pepsi,"Вода; сахар; краситель: сахарный колер IV; регулятор кислотности: ортофосфорная кислота; ароматизаторы (содержит стабилизатор: гуммиарабик, кофеин не более 150 мг/л).",,reference,open_food_facts,
4870071000258,Tassay,,,,reference,open_food_facts,
4870001570091,Unknown,Pepsi,Unknown,,reference,open_food_facts,
5449000004848,Fanta Naranja,Fanta,"Agua carbonatada, 8% zumo de naranja a partir de concentrado, azúcar, acidulantes: ácido cítrico y ácido málico, estabilizantes: E-414, E-444 y E,445, edulcorantes: E-950, aspartamo y E-959, conservador E-202, corrector de acidez: citratos",,reference,open_food_facts,
4870035007554,3 желания провансаль,,,,reference,open_food_facts,
4870035003488,3 желания,,,,reference,open_food_facts,
4870055004281,Био-С имун+,ФудМастер,"нормализованное _молоко_, фруктовый наполнитель &quot;клубника&quot; (сахар, пюре клубничное, стабилизатор, крахмал, пектин, сок яблочный концентрированный, концентрат красной свеклы, ароматизаторы клубники, регуляторы кислотности: лимонная",,reference,open_food_facts,
4870003431246,4870003431240,милоко,,,reference,open_food_facts,
4870202521245,Maxi Чай «Персик»,Maxi Чай,"очищенная вода, сахар, экстракт черного чая, регуляторы кислотности: лимонная кислота, натрий лимоннокислый, ароматизаторы черного чая и персика, стабилизаторы: Е459, E466, подсластитель сукралоза.",18183,active,open_food_facts,
8887290101000,Maccofe,MacCoffee,"Sugar, cream substitute (glucose syrup, fully hydrogenated coconut and palm fats, milk proteins, stabilizers: E340, E340ii, E341iii, E452i, emulsifiers: E471, E481, anti-caking agent E551), natural instant coffee (8%)",,reference,open_food_facts,
4870055002690,Milk 3.2%,Lactel,,,reference,open_food_facts,
4860019001340,BORJOMI,Borjomi,msman 1890 MI U-20000 BORJON 1890,,reference,open_food_facts,
4870055000850,"Кефир 2,5%",FoodMaster,"Нормализованное молоко, кефирная закваска.",,reference,open_food_facts,
4870207314598,Био-С имун+,ФудМастер,,,reference,open_food_facts,
4870035001152,Масло подсолнечное «Шедевр»,Eurasian Foods,,,reference,open_food_facts,
5449000133326,Cocacola zero sugar,Coke ZERO,"Eau gazéifiée, colorant E150d, acidifiants , acide phosphorique, citrate de sodium, édulcorants , aspartame, acésulfame-K, arômes naturels (extraits végétaux), dont caféine, Contient une source de phénylalanine,",,reference,open_food_facts,
4870035002692,три желания классический,3 Желания,,,reference,open_food_facts,
4870144749941,молоко петропавловское,Масло-Дел,,,reference,open_food_facts,
4870227271255,Rollton,Rollton,"RU • ИЗДЕЛИЯ МАКАРОННЫЕ БЫСТРОГО ПРИГОТОВЛЕН ВЕРМИШЕЛЬ НА ДОМАШНЕМ БУЛЬОНЕ* СКУРИЦЕЙ. Состав: вермишель (мука пшеничная 1 сорта фортифицированная (мука, витаминно-минеральный премикс (железо, цинк, никотиновая кислота, тиамин, рибофлавин, ф",,reference,open_food_facts,
5449000216337,"Fuse tea 1,5 litre mango ananas",Fuzetea,"Apa, zahar, fructoza, acidifiant acid citric, suc de mango (0,1%) din concentrat, suc de ananas (0,1%) din concentrat, extract de ceai (0,09%), arome naturale, corector de aciditate citrati de sodiu, antioxidant acid ascorbic, indulcitor gl",,reference,open_food_facts,
4607109843747,Батончик Чио Рио,KDV,,,reference,open_food_facts,
4870001154477,4870001154479,,,,reference,open_food_facts,
4600494223017,Adrenaline rush,ООО &quot;ПК &quot;аквалайф&quot;,,,reference,open_food_facts,
4014400922914,Mamba фрукты 🍉 и йогурт 🍦,,,,reference,open_food_facts,
4870144212377,Лимонад «Павлодарский»,Жана Роса,"умягчённая очищенная вода, сахар, регулятор кислотности (лимонная кислота), карамельный краситель, ароматизатор пищевой «Груша-Дюшес», консервант (бензоат натрия).",,reference,open_food_facts,
4604248015167,Кетчуп «Томатный»,Махеевъ,"вода питьевая, томатная паста, сахар, загуститель E1422, соль пищевая, перец красный молотый, регуляторы кислотности: уксусная и молочная кислоты, антиокислитель аскорбиновая кислота, консерванты: сорбат калия, бензоат натрия.",,reference,open_food_facts,
4600338007115,Молочный коктейль Малина,ФрутоНяня,"СОСТАВ (соответствующую букву-код смотрите на верхней панели пакета): А – молоко нормализованное, сахар, пюре малиновое, ароматизатор натуральный; B – молоко восстановленное, сахар, пюре малиновое, ароматизатор натуральный.",,reference,open_food_facts,
4870001081278,Томатная паста,Цин-Каз,"Томатный концентрат, вода, сахар, соль.",,reference,open_food_facts,
4680021881851,Мягкие вафли с кремом вареная сгущенка,Яшкино,"Крем «Вареная сгущенка» (сахар, вода, патока, масла растительные, молоко сухое обезжиренное, сыворотка молочная сухая, агент влагоудерживающий: пицерин; регулятор кислотности: лимонная кислота; эмульгатор: моно - и диглицериды жирных кислот",,reference,open_food_facts,
4620017451916,Babyfox,KDV,C,,reference,open_food_facts,
4630007401353,джин красные 300,,,,reference,open_food_facts,
7622210575511,Sourcecream & Onion,Tuc,,,reference,open_food_facts,
4620017459936,"Nut&Go Миндаль, Кокос, Карамель",nut&go,"Ядра миндаля обжаренные, глюкозные сиропы, сахар, мякоть кокосовых орехов сушёная, масла растительные, мальтодекстрин, сорбитовый сироп, сыворотка молочная сухая  деминерализованная, какао-порошок, соль, рапсовый лецитин, соевый лецитин, со",,reference,open_food_facts,
4870002325443,Asu vo лимон,Asu,,15224,active,open_food_facts,
4870004930072,Оралхан,,Вдст Инашлнсжл,,reference,open_food_facts,
4605082002755,Мини Мафинны,,"мука пшеничная хлебопекарная высшего сорта, сахар, начинка кондитерская с шоколадным вкусом (сахар, вода питьевая, масло пальмовое рафинированное дезодорированное, сыворотка молочная сухая деминерализованная,

какао-порошок, молоко сухое об",,reference,open_food_facts,
4605142045308,степ mix,Славянка,,,reference,open_food_facts,
4606711701766,Белоручка,Abahta,,,reference,open_food_facts,
5449000200859,fuse tea со вкусом клубники и дыни,fuse tea,"вода, сахар, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещённый), экстракт чёрного чая (0,09%), ароматизаторы, антиоксидант (аскорбиновая кислота), концентрированный сок клубники и дыни (0,2% восстановленного сока).",,reference,open_food_facts,
4860118780030,Соус «Ткемали»,Bio Georgia,"ткемали желтый, киви, чеснок, соль, сахар, перец зелёный свежий, кориандр, омбало (мята болотная)",,reference,open_food_facts,
4870227270955,Изделия макаронные быстрого приготовления. Лапша «Говядина + соус «Томатный с базиликом»,Big Bon,"лапша (мука пшеничная 1 сорта фортифицированная (мука, витаминно-минеральный премикс (железо, цинк, никотиновая кислота, тиамин, рибофлавин, фолиевая кислота)), масло растительное, вода питьевая, соль йодированная (соль, йодат калия), стаби",,reference,open_food_facts,
2000000351634,Маринованный перчик Piri piri,Выгодно,"перец, вода, виноградный уксус, соль, регулятор кислотности (аскорбиновая кислота, лимонная кислота).",19213,active,open_food_facts,
2974950000017,Датская выпечка,SMALL,"молоко, дрожжи, яйца, сахар, соль, растительное масло, маргарин, изюм, м(д, мак, сливочное масло.)",,reference,open_food_facts,
4870007490247,Творог,МолКом,"нормализованное пастеризованное молоко, закваска прямого внесения, молокосвертывающий ферментный препарат.",,reference,open_food_facts,
0764460195480,Масло гхи чеснок с укропом,Вкус Благости,"Масло ГХИ, чеснок, укроп.",,reference,open_food_facts,
4860019003083,limonati borjomi sitrus,Borjomi,"ПРИРОДНАЯ ПИТЬЕВАЯ ВОДА ИЗ РОДНИКОВ БОРЖОМСКОГО УЩЕЛЬЯ, ВОДА МИНЕРАЛЬНАЯ ПРИРОДНАЯ ЛЕЧЕБНО-СТОЛОВАЯ ПИТЬЕВАЯ «БОРЖОМИ», САХАР, КОНЦЕНТРИРОВАННЫЙ СОК ЛАЙМА (13,72%*), КОНЦЕНТРИРОВАННЫЙ ЛИМОННЫЙ СОК (1,17%*), КОНЦЕНТРИРОВАННЫЙ МАНДАРИНОВЫЙ СО",,reference,open_food_facts,
4607016245982,Oats,Увелка,,,reference,open_food_facts,
4870233466696,Cherry Chocolate Bar With Muffin Bits,Bahroma,,,reference,open_food_facts,
4870206551147,Smoked Beef,Pervomayskiye Delikatesy,,,reference,open_food_facts,
4870003751760,Готовый Завтрак С Овсянкой И Цветочным Мёдом,Natige,,15398,active,open_food_facts,
4870003751779,Завтрак Готовый С Овсянкой И Бананом,Natige,,15398,active,open_food_facts,
4607036206370,Баклажанная Икра В Аджике,Spar,,19213,active,open_food_facts,
4870207310422,Творог Домашний Рассыпчатый 9%,President,"Нормализиванное молоко, закваска, молокосвертывающий ферментный препарат",14761,active,open_food_facts,
4870235042384,Сушка Ванильная,Fine Bakery,,,reference,open_food_facts,
8409073031830,Котлеты,Ризық,,17948,active,open_food_facts,
4870001547668,King,,,,reference,open_food_facts,
4607035653951,ЯШКИНО ВАФЕЛЬНЫЙ СЭНДВИЧ,Яшкино,,,reference,open_food_facts,
4660085515831,эмэмдэнс жёлтый 145гр,M&M's,,,reference,open_food_facts,
4870227270593,Rollton,Rollton,,,reference,open_food_facts,
4670001494395,Nestle PureLife Water,Nestlé,Water,,reference,open_food_facts,
4606272023752,Хрутка шоколадные колечки,Nestlé,,,reference,open_food_facts,
4680003335066,"Батончик с жареным арахисом и мягкой карамелью, покрытый глазурью",KDV,SDP LITLIN AUT,,reference,open_food_facts,
4640017351920,Коктейль молочный ультрапастеризованный со вкусом банан,Молочная речка,"Состав: молоко цельное, молоко обезжиренное, сахар, молоко сухое обез жиренное, ароматизатор «Банан», экстракт сафлора (кра сящий концентрат из сафлора, вода), стабилизатор карра гинан.",,reference,open_food_facts,
8801073115516,Buldak Spicy Ramen,Samyang,"NOODLE (73.7%): WHEAT FLOUR, MODIFIED TAPIOCA STARCH, REFINED PALM OIL, WHEAT GLUTEN, SALT, EMULSIFIER[SOY LECITHIN(E322(i))], ACIDITY REGULATOR[POTASSIUM CARBONATE(E501(i)), SODIUM CARBONATE(E500(i)), SODIUM PHOSPHATE DIBASIC(E339(ii))], T",,reference,open_food_facts,
4810410114149,"Зарядись с солёной карамелью, арахисом, миндалём и фундуком в молочном шоколаде",Коммунарка,,,reference,open_food_facts,
4002645000188,Kräuterliklör,Kümmerling,,,reference,open_food_facts,
8852008304842,Koala chocolat noir,Lotte,,,reference,open_food_facts,
4001686102709,Lakritz Schnecken,Haribo,Zuckersirup; Weizenmehl; Glukosesirup; Stärke; Süßholzextrakt (3 %); Kochsalz; Aroma; Säuerungsmittel: Citronensäure; Überzugsmittel: Bienenwachs; Sonnenblumenöl,,reference,open_food_facts,
4870207313979,Творог,President,,14761,active,open_food_facts,
5901716986769,QuickMix,Kruger,Сахар какао-порошок,,reference,open_food_facts,
4600452023356,Bridge Coffee 3 в 1 лесной орех,KDV,"Сахар, заменитель сухих сливок на растительной основе с массовой долей жира 35% (патока крахмальная, масло кокосовое рафинированное дезодорированное, E340(ii), E452(i), E471, E472e, казеинат натрия, Е551), кофе натуральный растворимый порош",,reference,open_food_facts,
4870207313298,Йогурт питьевой со вкусом абрикоса,FoodMaster,"нормализованное молоко, сахар, стабилизатор: крахмал кукурузный, ароматическая эмульсия со вкусом абрикоса, закваска.",,reference,open_food_facts,
8801073116533,MEP Grilled Garlic Shrimp Ramyeon,Samyang,"แป้งสาลี 58%, สตาร์ชมันสำปะหลังดัดแปร 13%, น้ำมันปาล์ม 12%, เกลือบริโภคไม่เสริมไอโอดีน 3%, ผงกระเทียม 2%, ผงครึ่ม 2%, ผงกุ้งและหอย 1.7%, กลูเตนจากข้าวสาลี 1.5%, น้ำตาล 1.3%, ผงปรุงรสเผ็ด 1%, ผงกะทิ 0.86%, ผักกวางตุ้ง 0.5%, ผงปรุงรสกลมกล่อม",,reference,open_food_facts,
4605025024602,Бекон черкизово,,,,reference,open_food_facts,
4603732325236,Оливки с сёмгой,Ekoland,"вода питьевая, оливки отборные сорта мансанилья, паста из сёмги 6% (сёмга, желлирующий агент: альгнат натрия, ароматизатор), соль пищевая, усилитель вкуса: глутамат натрия, 5' рибонуклеотид динатрия, подкислитель: лимонная кислота и антиокс",,reference,open_food_facts,
4607041134767,Соус соевый пряный,Sen Soy,"Вода, соевые бобы, пшеница, соль, сахар, сок ананаса, свежие: имбирь, лук, чеснок, консервант: сорбат калия.",,reference,open_food_facts,
8594001693038,Паштет с гусиной печенью,Hame,,,reference,open_food_facts,
8801062859100,Lotte zero cookies & cream sand,Lotte,,,reference,open_food_facts,
7622201711829,Picnic Super Peanut,Alpen Gold,,,reference,open_food_facts,
4607015235784,Jaffa Cake,Яшкино,,,reference,open_food_facts,
4823077646285,Рошен  Ловита  Бровне,Roshen,"wheat flour, non-hydrogenated palm oil, sugar, egg melange, humectant glycerol, glucose-fructose syrup, modified starch, yolk powder, concentrated lemon juice 0,6%, salt, artificial flavouring: (,quot,lemon sherbet,quot,), raising agent amm",,reference,open_food_facts,
9555050302813,Bibigo cheese tteokbokki ramyun,,"Пшеничная мука, пальмовое масло, загуститель, соль, эмульгатор, пальмовое масло, антиоксидант, регулятор кислотности, антиоксидант, фруктоза, сахар, паста из красного перца, вода, соевый соус, консервант, усилители вкуса, порошок красного п",,reference,open_food_facts,
4601674085351,Кетчуп Итальянский,Heinz,,,reference,open_food_facts,
8711327608665,Glaces Amande,Magnum,"LAIT écrémé réhydraté, sucre, eau, beurre de cacao¹, huile de coco, LAIT en poudre écrémé, AMANDES, sirop de glucose, BEURRE concentré, sirop de glucose-fructose, pâte de cacao¹, LACTOSE et protéines de LAIT, émulsifiants (E471 (d'origine v",15893,active,open_food_facts,
8711327611924,Magnum Mini IJs Almond 6 x 55 ml,Magnum,"Gerehydrateerde magere MELK, suiker, cacaoboter', water, magere MELKPOEDER, kokosolie, AMANDELEN, glucosestroop, BOTERCONCENTRAAT, glucose-fructosestroop, cacaomassa¹, LACTOSE en MELKEIWITTEN, emulgatoren (E471, lecithines), stabilisatoren",15893,active,open_food_facts,
8711327609646,Magnum Glace Bâtonnet Amande 8x100ml,Magnum,"LAIT écrémé réhydraté, sucre, eau, beurre de cacao¹, huile de coco, LAIT en poudre écrémé, AMANDES, sirop de glucose, BEURRE concentré, sirop de glucose-fructose, pâte de cacao¹, LACTOSE et protéines de LAIT, émulsifiants (E471 (d'origine v",15893,active,open_food_facts,
8711327576861,Magnum Deluxe Double Chocolate,Magnum,"LAIT écrémé réhydraté, sucre, huile de coco, pâte de cacao (7%)¹, sirop de glucose-fructose, beurre de cacao (4,5%)¹, cacao maigre en poudre (3,5%)¹, LAIT en poudre entier, BEURRE concentré, LAIT écrémé en poudre ou concentré, émulsifiants",15893,active,open_food_facts,
8711327609345,Magnum Ice Cream Lolly ALMOND 110 ML,Magnum,"Entrahmte Milch, Zucker, Kakaobutter, Trinkwasser, Magermilchpulver, Kokosfett, Mandeln, Glukosesirup, Butterfett, Glukose-Fruktose-Sirup, Kakaomasse, Molkenerzeugnis, Emulgatoren (E471, Lecithine), Stabilisatoren (Guarkernmehl, Johannisbro",15893,active,open_food_facts,
